id,date,scanner,min,max,err,pixels,minf,maxf,errf,created_at,updated_at
12,17-12-2017,K219,35435,35933,1.4,6,35681,35688,0.02,,26:16.5
30,18-12-2017,H161,35155,36382,3.43,14,35731,35761,0.08,,26:16.9
47,18-12-2017,K211,35305,36042,2.07,43,35692,35739,0.13,,10:57.5
48,18-12-2017,K212,35216,36225,2.82,61,35686,35726,0.11,,10:57.5
49,18-12-2017,K220,35196,36259,2.98,11,35709,35724,0.04,,10:57.5
50,18-12-2017,K221,35391,36054,1.86,5,35734,35738,0.01,,10:57.5
68,19-12-2017,K169,34909,36193,3.61,51,35564,35574,0.03,,21:42.6
31,18-12-2017,H162,35359,36084,2.03,39,35743,35772,0.08,,26:16.9
8,16-12-2017,K238,35123,36175,2.95,6,35707,35718,0.03,,26:17.1
10,16-12-2017,K250,35357,36015,1.84,17,35702,35708,0.02,,26:17.1
7,16-12-2017,K237,35462,36079,1.72,11,35713,35720,0.02,,26:17.2
6,17-12-2017,H173,35489,36031,1.52,11,35726,35745,0.05,,21:43.5
2,17-12-2017,H175,34014,37070,8.6,50,35744,35769,0.07,,21:43.5
4,17-12-2017,H177,35270,36244,2.72,42,35752,35768,0.04,,21:43.5
3,17-12-2017,H176,35455,35988,1.49,25,35742,35760,0.05,,21:43.5
5,17-12-2017,H174,35408,36128,2.01,39,35726,35745,0.05,,21:43.6
20,17-12-2017,H128,35227,35929,1.97,119,35720,35745,0.07,,21:43.6
29,18-12-2017,H163,35331,36280,2.65,58,35698,35772,0.21,,26:16.9
9,16-12-2017,K239,35264,36246,2.75,21,35720,35727,0.02,,26:17.1
66,19-12-2017,K120,-1,-1,0,-1,-1,-1,0,,21:42.6
67,19-12-2017,K141,35396,36048,1.83,44,35671,35707,0.1,,21:42.7
46,18-12-2017,H148,35463,36032,1.59,19,35749,35768,0.05,,21:43.0
43,18-12-2017,H131,35371,35987,1.73,29,35699,35731,0.09,,21:43.0
41,18-12-2017,H132,34872,36520,4.62,49,35714,35734,0.06,,21:43.0
39,18-12-2017,H134,35510,36182,1.87,59,35732,35764,0.09,,21:43.0
42,18-12-2017,H133,34812,36623,5.07,76,35713,35734,0.06,,21:43.0
40,18-12-2017,H135,34676,36747,5.8,52,35714,35742,0.08,,21:43.1
37,18-12-2017,H138,35370,36054,1.92,85,35742,35773,0.09,,21:43.1
38,18-12-2017,H139,35202,36289,3.04,98,35743,35759,0.04,,21:43.1
45,18-12-2017,H149,34231,36759,7.12,34,35746,35779,0.09,,21:43.1
34,18-05-2017,K115,35232,35816,1.64,35,35540,35552,0.03,,21:43.2
18,17-12-2017,H129,35318,35938,1.74,67,35686,35743,0.16,,21:43.7
19,17-12-2017,H130,35186,36120,2.62,-1,35707,35741,0.1,,21:43.7
21,17-12-2017,H127,35318,36036,2.01,147,35722,35748,0.07,,21:43.7
17,17-07-2016,K167,34817,36433,4.54,48,35670,35694,0.07,,21:43.8
13,17-07-2016,K150,35090,36473,3.87,19,35709,35721,0.03,,21:43.9
23,17-12-2017,K210,35013,36193,3.31,43,35710,35721,0.03,,21:44.0
24,17-12-2017,K209,35046,36024,2.75,30,35517,35527,0.03,,21:44.0
16,17-07-2016,K149,35037,36406,3.83,35,35712,35734,0.06,,21:44.0
26,18-12-2017,K120,35039,35955,2.58,37,35527,35541,0.04,,21:42.6
44,18-12-2017,H150,35455,36071,1.72,32,35743,35769,0.07,,21:43.0
63,19-10-2017,K115,35240,35816,1.62,36,35542,35553,0.03,,21:43.2
32,18-05-2017,K121,-1,-1,0,-1,-1,-1,0,,21:43.3
61,19-10-2017,K121,35364,36000,1.78,24,35715,35736,0.06,,21:43.3
33,18-05-2017,K168,35157,35970,2.29,48,35539,35567,0.08,,21:43.3
35,18-05-2017,K114,35191,36044,2.39,24,35715,35737,0.06,,21:43.3
64,19-10-2017,K114,35189,36045,2.4,26,35714,35736,0.06,,21:43.3
36,18-05-2017,K171,35225,36118,2.5,40,35713,35738,0.07,,21:43.4
65,19-10-2017,K171,35230,36120,2.49,53,35713,35738,0.07,,21:43.4
1,17-12-2017,H171,35426,36140,2,18,35711,35754,0.12,,21:43.5
60,18-10-2016,K167,34818,36467,4.63,53,35670,35694,0.07,,21:43.8
15,17-07-2016,K147,35155,35981,2.32,61,35559,35571,0.03,,21:43.8
53,18-10-2016,K147,35161,35977,2.29,41,35558,35571,0.04,,21:43.8
58,18-10-2016,K147,35161,35977,2.29,41,35558,35571,0.04,,21:43.8
25,17-12-2017,K172,34973,35887,2.58,30,35527,35545,0.05,,21:43.9
56,18-10-2016,K150,35090,36470,3.86,26,35707,35724,0.05,,21:43.9
14,17-07-2016,K173,35003,36347,3.77,53,35705,35733,0.08,,21:43.9
52,18-10-2016,K173,35003,36343,3.76,53,35707,35735,0.08,,21:43.9
57,18-10-2016,K173,35003,36343,3.76,53,35707,35735,0.08,,21:43.9
22,17-12-2017,K208,35386,35911,1.47,52,35698,35706,0.02,,21:43.9
54,18-10-2016,K149,35043,36400,3.8,27,35713,35735,0.06,,21:44.0
11,17-12-2017,K218,35454,36010,1.56,12,35687,35690,0.01,,26:16.5
116,20-12-2017,K211,35323,36037,2,43,35702,35740,0.11,,02:58.0
73,19-12-2017,K212,35218,36220,2.81,61,35687,35727,0.11,,02:58.1
117,20-12-2017,K212,35219,36219,2.8,61,35685,35727,0.12,,02:58.1
118,20-12-2017,K220,35197,36259,2.97,11,35709,35725,0.04,,02:58.1
75,19-12-2017,K221,35397,36056,1.84,6,35733,35738,0.01,,02:58.1
119,20-12-2017,K221,35416,36060,1.8,5,35716,35738,0.06,,02:58.1
112,20-12-2017,K169,34913,36189,3.59,33,35561,35573,0.03,,21:42.6
110,20-12-2017,K120,35038,35954,2.58,29,35527,35542,0.04,,21:42.6
111,20-12-2017,K141,35380,36053,1.88,32,35673,35707,0.1,,21:42.7
143,21-12-2017,K141,35381,36049,1.87,34,35673,35707,0.1,,21:42.7
83,19-12-2017,H150,35465,36080,1.72,32,35738,35775,0.1,,21:43.0
85,19-12-2017,H148,35423,36038,1.72,27,35749,35766,0.05,,21:43.0
82,19-12-2017,H131,35371,35985,1.72,29,35689,35735,0.13,,21:43.0
78,19-12-2017,H134,35511,36180,1.87,61,35731,35766,0.1,,21:43.0
81,19-12-2017,H133,34818,36613,5.03,77,35717,35734,0.05,,21:43.1
79,19-12-2017,H135,34461,36941,6.95,56,35711,35743,0.09,,21:43.1
76,19-12-2017,H138,35378,36063,1.92,88,35748,35766,0.05,,21:43.1
77,19-12-2017,H139,35207,36296,3.05,98,35739,35764,0.07,,21:43.1
84,19-12-2017,H149,34225,36755,7.13,34,35746,35779,0.09,,21:43.1
139,20-12-2017,K115,35235,35817,1.64,44,35539,35556,0.05,,21:43.2
132,21-12-2017,K121,35362,36029,1.87,33,35715,35735,0.06,,21:43.3
